"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-06-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-26",,,,,
